ID,ID,Name,Active,Type,IsCommercial,ChargesRCC,PCE,CO2,CustomerChg,DemandCharge,NameShort,Blocks
48,48,Galena Electric Utility - Residential,True,1,False,False,0.200000002980232,1.60000002384186,11.1999998092651,,Galena,"[(nan, 0.670000016689301), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
49,49,"Golovin, City of - Residential",True,1,False,False,0.136899992823601,2.20000004768372,,,Golovi,"[(nan, 0.379999995231628), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
50,50,Gustavus Electric Company - Residential,True,1,False,False,0.0900000035762787,1.89999997615814,20.0,,Gustav,"[(nan, 0.360000014305115), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
51,51,Gwitchyaa Zhee Utility Co - Residential,True,1,False,True,0.370999991893768,2.0,0.0,,Gwitch,"[(nan, 0.7037999924505131), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
53,53,Homer Electric Assn  - Residential,True,1,False,True,0.0,1.10000002384186,20.0,,Homer ,"[(nan, 0.22033000702504113), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
55,55,Hughes Power & Light Co - Residential,True,1,False,False,0.499700009822845,2.25,,,Hughes,"[(nan, 0.709999978542328), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
56,56,"I-N-N Electric Cooperative, Inc - Residential",True,1,False,False,0.39300000667572,1.60000002384186,19.5,,I-N-N ,"[(nan, 0.649999976158142), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
57,57,Igiugig Village Council - Residential,True,1,False,False,0.640500009059906,2.5,5.0,,Igiugi,"[(nan, 0.908999979496002), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
58,58,Ipnatchiaq Electrric Co - Residential,True,1,False,False,0.259999990463257,1.79999995231628,19.25,,Ipnatc,"[(nan, 0.714699983596802), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
61,61,"Ketchikan, City of - Residential",True,1,False,False,0.0,0.00600000005215406,6.40000009536743,,Ketchi,"[(nan, 0.100599996745586), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
62,62,"King Cove, City of - Residential",True,1,False,False,0.0,1.79999995231628,0.0,,King C,"[(nan, 0.300000011920929), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
63,63,Kipnuk Light Plant - Residential,True,1,False,True,0.109700001776218,1.79999995231628,,,Kipnuk,"[(nan, 0.330599993118085), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
64,64,Kobuk Valley Electric - Residential,False,1,False,False,0.263300001621246,2.20000004768372,,,Kobuk ,"[(700.0, 0.501100018620491), (nan, 0.401100009679794), (nan, nan), (nan, nan), (nan, nan)]"
65,65,Kodiak Electric Assn - Residential,True,1,False,False,,0.270000010728836,7.5,,Kodiak,"[(nan, 0.1576939970254902), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
66,66,Kokhanok Village Council - Residential,True,1,False,False,0.597500026226044,2.29999995231628,10.0,,Kokhan,"[(nan, 0.899999976158142), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
67,67,Koliganek Village Council - Residential,True,1,False,False,0.217399999499321,2.25,21.3999996185303,,Koliga,"[(nan, 0.5), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
68,68,AVEC-Kotlik - Residential,True,1,False,False,0.284099996089935,2.90000009536743,5.0,,AVEC-K,"[(700.0, 0.500000014901161), (nan, 0.400000005960464), (nan, nan), (nan, nan), (nan, nan)]"
69,69,Kotzebue Electric Assn - Residential,True,1,False,False,0.1875,1.60000002384186,15.0,,Kotzeb,"[(nan, 0.375699996948242), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
70,70,"Koyukuk, City of - Residential",True,1,False,False,0.311800003051758,2.25,,,Koyuku,"[(nan, 0.949999988079071), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
71,71,Kuiggluum Kallugvia - Residential,True,1,False,False,0.20550000667572,3.79999995231628,,,Kuiggl,"[(nan, 0.519999980926514), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
72,72,Kwig Power Company - Residential,True,1,False,False,0.356799989938736,3.5,,,Kwig P,"[(nan, 0.670000016689301), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
73,73,Larsen Bay Electric - Residential,True,1,False,False,9.99999974737875e-05,0.25,0.0,,Larsen,"[(nan, 0.409999996423721), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
74,74,Levelock Electric Cooperativ - Residential,True,1,False,False,0.365399986505508,2.79999995231628,0.0,,Levelo,"[(nan, 0.850000023841858), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
75,75,Manley Utility Co - Residential,True,1,False,True,0.582199990749359,2.20000004768372,20.0,,Manley,"[(nan, 0.85569998587016), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
76,76,Manakotak Power Company - Residential,True,1,False,False,0.243900001049042,2.70000004768372,0.0,,Manako,"[(nan, 0.550000011920929), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
77,77,Matanuska Electric Assn. - Residential,True,1,False,True,,1.10000002384186,13.0,,Matanu,"[(1300.0, 0.19457999581936775), (nan, 0.18306999618653175), (nan, nan), (nan, nan), (nan, nan)]"
78,78,McGrath Light & Power - Residential,True,1,False,True,0.379299998283386,1.70000004768372,,,McGrat,"[(nan, 0.7438999708974731), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
79,79,Middle Kuskokwim Electric Coop - Residential,True,1,False,True,0.71399998664856,2.40000009536743,25.5,,Middle,"[(nan, 1.083899974473753), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
80,80,Naknek - Residential,True,1,False,False,0.272799998521805,1.5,15.0,,Naknek,"[(1000.0, 0.427100002765656), (nan, 0.412099987268448), (nan, nan), (nan, nan), (nan, nan)]"
81,81,Napakiak - Residential,True,1,False,True,0.327600002288818,3.70000004768372,0.0,,Napaki,"[(nan, 0.698100000270642), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
82,82,"Napaskiak, Inc - Residential",True,1,False,False,0.388700008392334,2.90000009536743,25.0,,Napask,"[(nan, 0.699999988079071), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
83,83,Naterkaq Light Plant - Residential,True,1,False,False,0.232099995017052,2.0,,,Naterk,"[(nan, 0.490000009536743), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
84,84,Nelson Lagoon Electric Coop - Residential,True,1,False,False,0.570800006389618,2.20000004768372,0.0,,Nelson,"[(nan, 0.839999973773956), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
86,86,"Nikolai Light & Power, City of - Residential",True,1,False,False,0.421600013971329,2.0,,,Nikola,"[(nan, 0.899999976158142), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
87,87,Nome Joint Utilities Systems - Residential,True,1,False,False,0.0835999995470047,1.39999997615814,5.0,,Nome J,"[(nan, 0.298000007867813), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
88,88,North Slope Borough Utilities - Residential,True,1,False,True,0.0835999995470047,2.0,15.0,,North ,"[(600.0, 0.15090000594500405), (nan, 0.35089999402407607), (nan, nan), (nan, nan), (nan, nan)]"
90,90,Nushagak Electric Cooperative - Residential,True,1,False,False,0.158600002527237,1.5,20.0,,Nushag,"[(nan, 0.411699995398522), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
91,91,"Ouzinkie, City of - Residential",True,1,False,False,0.12729999423027,2.20000004768372,5.0,,Ouzink,"[(nan, 0.388700008392334), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
92,92,"Paxson Lodge, Inc - Residential",False,1,False,False,,1.72000002861023,,,Paxson,"[(nan, 1.70000004768372), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
93,93,Pedro Bay Village Council - Residential,True,1,False,False,0.343100011348724,2.59999990463257,,,Pedro ,"[(nan, 0.810000002384186), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
94,94,Perryville Electric Utility - Residential,True,1,False,False,0.25,2.40000009536743,,,Perryv,"[(nan, 0.949999988079071), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
95,95,"Petersburg, City of - Residential",True,1,False,False,,0.00999999977648258,9.0,,Peters,"[(325.0, 0.118000000715256), (650.0, 0.114000000059605), (nan, 0.0700000002980232), (nan, nan), (nan, nan)]"
96,96,Pilot Point  - Residential,True,1,False,False,0.28549998998642,2.0,10.0,,Pilot ,"[(nan, 0.600000023841858), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
97,97,"Port Heiden, City of - Residential",True,1,False,False,0.316900014877319,2.0,0.0,,Port H,"[(nan, 0.649999976158142), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
98,98,Pelican - Residential,True,1,False,False,0.226400002837181,0.310000002384186,0.0,,Pelica,"[(nan, 0.491100013256073), (nan, nan), (nan, nan), (nan, nan), (nan, nan)]"
