,Name,Latitude,Longitude,ERHRegionID,WAPRegionID,FuelRefer,FuelCityID,Oil1Price,Oil2Price,PropanePrice,BirchPrice,SprucePrice,CoalPrice,SteamPrice,HotWaterPrice,MunicipalSalesTax,BoroughSalesTax,TMYid,TMYname,ElecUtilities,GasPrice,aris_city,census_city,census_area,ancsa_region,railbelt,hub,avg_elec_usage
10,Bethel,60.7944679260254,-161.803955078125,4,4,False,,3.9300000667572,,9.47999954223633,300.0,350.0,,,,0.0599999986588955,,702190,"BETHEL AIRPORT, AK","[('Bethel Utilities Corportion - Residential', 23), ('Bethel - Commercial - Sm', 350), ('Bethel  - Commercial - Lg', 537)]",,Bethel,Bethel city,Bethel Census Area,Calista,Affordable Energy Strategy Area,True,"[698.6448943930001, 584.884631169, 573.799682116, 512.091104404, 451.084172331, 433.770685459, 432.12095010400003, 442.71191715099997, 440.38002620199995, 493.36601273900004, 521.677915987, 619.730218576]"
11,Bettles,66.9148254394531,-151.518264770508,4,4,False,,4.0,,8.47000026702881,,,,,,,,701740,"BETTLES FIELD, AK","[('Bettles- APT - Residential', 250), ('Bettles- APT - Commercial - Sm', 351), ('Bettles- APT - Commercial - Lg', 538)]",,Bettles,Bettles city,Yukon-Koyukuk Census Area,Doyon,Affordable Energy Strategy Area,False,"[338.509000744, 291.889556239, 276.804469551, 259.698748275, 241.22759162, 241.87788097700002, 237.01448643400002, 240.39129591, 250.339561607, 260.703968331, 289.122744033, 324.815682083]"
12,Delta Junction,64.055534362793,-145.728576660156,4,4,False,,2.99000000953674,,3.75,,,,,,,,702670,"BIG DELTA ALLEN AAF, AK","[('Golden Valley Electric - Residential', 3), ('Golden Valley Electric - Com- Sm GS1', 380), ('Golden Valley Electric - Com- Lg GS2S', 567), ('Golden Valley Electric GS-2(P)', 683), ('Golden Valley Electric - GS-3', 684)]",,Delta Junction,Delta Junction city,Southeast Fairbanks Census Area,Doyon,Affordable Energy Strategy Area,False,"[364.077133479, 320.586604447, 277.533534909, 258.36814835, 230.969615488, 234.201664876, 232.947145877, 246.58677686, 252.859616409, 255.146987301, 300.112784013, 332.54400439999995]"
13,Big Lake,61.5449600219727,-149.855163574219,2,2,False,,2.75,,4.03999996185303,,,,,,,,702746,"BIRCHWOOD, AK","[('Matanuska Electric Assn. - Residential', 77), ('Matanuska Electric Assn. - Commercial - Sm', 414), ('Matanuska Electric Assn. - Commercial - Lg', 601)]",0.978519976139068,Big Lake,Big Lake CDP,Matanuska-Susitna Borough,Cook Inlet Regional (CIRI),Railbelt,False,"[674.3176110825001, 616.54369648225, 568.8020181537499, 559.5290597065, 502.68865773625, 474.855271649, 467.94495386925, 483.58090842574995, 498.77690241749997, 532.8355384270001, 575.696935941, 610.274161992]"
14,Cantwell,63.3987884521484,-148.886169433594,4,4,False,,3.25,,3.59999990463257,,,,,,,,702647,"HEALY RIVER AIRPORT, AK","[('Golden Valley Electric - Residential', 3), ('Golden Valley Electric - Com- Sm GS1', 380), ('Golden Valley Electric - Com- Lg GS2S', 567), ('Golden Valley Electric GS-2(P)', 683), ('Golden Valley Electric - GS-3', 684)]",,Cantwell,Cantwell CDP,Denali Borough,Ahtna Inc,Railbelt,False,"[674.3176110825001, 616.54369648225, 568.8020181537499, 559.5290597065, 502.68865773625, 474.855271649, 467.94495386925, 483.58090842574995, 498.77690241749997, 532.8355384270001, 575.696935941, 610.274161992]"
15,Central,65.5112228393555,-144.690017700195,4,4,False,,3.46000003814697,,,,,,,,,,701940,"FORT YUKON, AK","[('Central Electric- Residential', 33), ('Central Electric - Commercial - Sm', 354), ('Central Electric - Commercial - Lg', 541)]",,Central,Central CDP,Yukon-Koyukuk Census Area,Doyon,Affordable Energy Strategy Area,False,"[338.509000744, 291.889556239, 276.804469551, 259.698748275, 241.22759162, 241.87788097700002, 237.01448643400002, 240.39129591, 250.339561607, 260.703968331, 289.122744033, 324.815682083]"
16,Chalkyitsik,66.6516723632813,-143.727478027344,4,4,False,161.0,8.0,,8.47000026702881,,,,,,,,701940,"FORT YUKON, AK","[('Chalkyitsik Village Energy - Residential', 277), ('Chalkyitsik Village Energy - Commercial - Sm', 355), ('Chalkyitsik Village Energy - Commercial - Lg', 542)]",,Chalkyitsik,Chalkyitsik CDP,Yukon-Koyukuk Census Area,Doyon,Affordable Energy Strategy Area,False,"[338.509000744, 291.889556239, 276.804469551, 259.698748275, 241.22759162, 241.87788097700002, 237.01448643400002, 240.39129591, 250.339561607, 260.703968331, 289.122744033, 324.815682083]"
17,Chickaloon,61.7831077575684,-148.535186767578,2,2,False,,2.75,,4.03999996185303,,,,,,,,702740,"PALMER MUNICIPAL, AK","[('Matanuska Electric Assn. - Residential', 77), ('Matanuska Electric Assn. - Commercial - Sm', 414), ('Matanuska Electric Assn. - Commercial - Lg', 601)]",,Chickaloon,Chickaloon CDP,Matanuska-Susitna Borough,Cook Inlet Regional (CIRI),Railbelt,False,"[674.3176110825001, 616.54369648225, 568.8020181537499, 559.5290597065, 502.68865773625, 474.855271649, 467.94495386925, 483.58090842574995, 498.77690241749997, 532.8355384270001, 575.696935941, 610.274161992]"
18,Chicken,64.0681686401367,-141.911483764648,4,4,False,,3.45000004768372,,3.5,,,,,,,,702910,"NORTHWAY AIRPORT, AK","[('Self Generation', 131)]",,Chicken,Chicken CDP,Southeast Fairbanks Census Area,Doyon,Affordable Energy Strategy Area,False,"[364.077133479, 320.586604447, 277.533534909, 258.36814835, 230.969615488, 234.201664876, 232.947145877, 246.58677686, 252.859616409, 255.146987301, 300.112784013, 332.54400439999995]"
19,Chignik,56.2942161560059,-158.394805908203,2,2,False,,3.50999999046326,3.50999999046326,10.1700000762939,,,,,,,,703330,"PORT HEIDEN, AK","[('Chignik, City of - Residential', 31), ('Chignik, City of - Commercial - Sm', 358), ('Chignik, City of - Commercial - Lg', 545)]",,Chignik,Chignik city,Lake and Peninsula Borough,Bristol Bay Native Corporation,Affordable Energy Strategy Area,False,"[674.3176110825001, 616.54369648225, 568.8020181537499, 559.5290597065, 502.68865773625, 474.855271649, 467.94495386925, 483.58090842574995, 498.77690241749997, 532.8355384270001, 575.696935941, 610.274161992]"
20,Chitina,61.5271453857422,-144.401885986328,4,4,False,,2.79999995231628,,3.60999989509583,,,,,,,,702710,"GULKANA INTERMEDIATE FIELD, AK","[('Chitina Electric - Residential', 32), ('Chitina Electric - Commercial - Sm', 360), ('Chitina Electric - Commercial - Lg', 547)]",,Chitina,Chitina CDP,Valdez-Cordova Census Area,Ahtna Inc,Affordable Energy Strategy Area,False,"[378.855336556, 326.852209432, 298.495185185, 285.88211382099996, 267.38349159999996, 260.50396253599996, 267.598859993, 268.426765016, 270.60518934099997, 278.94908707900004, 307.041975309, 350.559561683]"
21,Circle,65.7805709838867,-144.120498657227,4,4,False,21.0,3.45000004768372,,,,,,,,,,701940,"FORT YUKON, AK","[('Central Electric- Residential', 33), ('Central Electric - Commercial - Sm', 354), ('Central Electric - Commercial - Lg', 541)]",,Circle,Circle CDP,Yukon-Koyukuk Census Area,Doyon,Affordable Energy Strategy Area,False,"[338.509000744, 291.889556239, 276.804469551, 259.698748275, 241.22759162, 241.87788097700002, 237.01448643400002, 240.39129591, 250.339561607, 260.703968331, 289.122744033, 324.815682083]"
22,Clear,64.287727355957,-149.169631958008,4,4,False,,3.25,,5.69999980926514,,,,,,,,702600,"NENANA MUNICIPAL AP, AK","[('Golden Valley Electric - Residential', 3), ('Golden Valley Electric - Com- Sm GS1', 380), ('Golden Valley Electric - Com- Lg GS2S', 567), ('Golden Valley Electric GS-2(P)', 683), ('Golden Valley Electric - GS-3', 684)]",,Clear,Anderson city,Denali Borough,Doyon,Railbelt,False,"[674.3176110825001, 616.54369648225, 568.8020181537499, 559.5290597065, 502.68865773625, 474.855271649, 467.94495386925, 483.58090842574995, 498.77690241749997, 532.8355384270001, 575.696935941, 610.274161992]"
