,brand,ahri_num,zones,outdoor_model,indoor_model,hspf,in_pwr_5F_max,capacity_5F_max,in_pwr_47F_min,cop_5F_max,cop_17F_max,cop_47F_max
1090,Lg,10443474,Multi,LMU420HHV,DUCTED INDOOR UNITS,10.5,6.38,45000.0,1.07,2.067115697492163,2.5066609497431505,3.345031547401247
1091,Lg,10443475,Multi,LMU360HHV,DUCTED INDOOR UNITS,10.5,5.84,40000.0,1.17,2.007336095890411,2.445931486466165,3.218548358035714
1092,Lg,10444103,Multi,LMU420HHV,MIXED DUCTED AND DUCTLESS,10.75,6.26,45000.0,1.02,2.1067409185303516,2.554781840575916,3.4714740936774193
1093,Lg,10445372,Multi,LMU180HHV,NON- DUCTED INDOOR UNITS,10.0,3.48,22000.0,1.25,1.852748143678161,2.0895701667673716,2.261641697749196
1094,Lg,10445374,Multi,LMU240HHV,NON- DUCTED INDOOR UNITS,10.7,3.63,26000.0,1.26,2.0991316308539947,2.4210218826086956,3.0891274945945946
1095,Lg,10445376,Multi,LMU300HHV,NON- DUCTED INDOOR UNITS,11.0,3.88,28600.0,1.3,2.1602661345360827,2.5097685127371276,3.07454926196319
1097,Lg,10445111,Multi,LMU360HHV,MIXED DUCTED AND DUCTLESS,11.0,5.77,40500.0,1.06,2.0570846334488735,2.5050333283650192,3.459770113776722
1099,Midea,201753970,Single,38MPRAQ09AA3,DHMPHAQ09XA3,15.0,1.936,13047.0,0.159,1.9750507491167355,2.106303820027842,2.9483885528326437
1100,Midea,201753971,Single,38MPRAQ12AA3,DHMPHAQ12XA3,14.0,2.074,12897.0,0.188,1.822438567883317,2.193868957023004,2.8371299731373543
1101,Midea,201753972,Single,DLCPRAH09AAK,DLFPHAH09XAK,14.5,1.936,13047.0,0.159,1.9750507491167355,2.106303820027842,2.9483885528326437
1102,Midea,201755033,Single,DLCPRAH12AAK,DLFPHAH12XAK,13.6,2.074,12897.0,0.188,1.822438567883317,2.193868957023004,2.8371299731373543
1103,Midea,201756545,Single,DLCSRAH09AAJ,DLFSHAH09XAJ,10.5,1.03405777,6880.0,0.151,1.94991906,2.32990328,3.492202
1104,Midea,201756546,Single,DLCSRAH12AAJ,DLFSHAH12XAJ,11.0,1.1373379293450685,7800.0,0.17,2.0099165665884,2.3332965957692298,3.508635894112149
1105,Novair,201786765,Single,09EVONVO,09EVONVI,11.2,1.71,10826.0,0.16,1.8554312303040934,1.9988499923952097,3.273712396740741
1106,Novair,201786767,Single,12EVONVO,12EVONVI,12.0,1.97,12029.0,0.19,1.7895187314873096,1.8613003466122449,3.285652329222222
1107,Novair,201786769,Single,18EVONVO,18EVONVI,10.3,1.43,10274.0,0.24,2.1056029183076923,2.647791765104575,3.3783101523636363
1108,Novair,201786770,Single,24EVONVO,24EVONVI,11.5,2.4,15327.0,0.45,1.8716251207874999,2.176223084906977,3.3449915408377358
1109,Midea,201796612,Single,DLCSRAH24AAK,DLFSDAH24XAK,12.0,4.55569796,30000.0,0.458,1.92991989,1.98427017,3.13949989
1110,Mitsubishi,4217888,Single,MUZ-FE18NA,MSZ-FE18NA,10.3,3.15,21830.0,0.52,2.03,2.31,3.6
1111,Mitsubishi,4908219,Single,MUZ-FE09NA,MSZ-FE09NA,10.0,1.46,10900.0,0.15,2.19,2.12,2.34
1112,Mitsubishi,4934170,Single,MUZ-FE12NA,MSZ-FE12NA,10.5,1.62,13600.0,0.15,2.46,2.24,2.74
1113,Mitsubishi,7451794,Multi,MXZ-3C30NAHZ,Non-Ducted Indoor Units,11.0,4.79,28600.0,0.93,1.75,2.0,4.0
1114,Mitsubishi,7451969,Multi,MXZ-3C24NAHZ,Non-Ducted Indoor Units,10.0,3.82,25000.0,0.93,1.92,2.06,4.25
