,brand,ahri_num,zones,outdoor_model,indoor_model,hspf,in_pwr_5F_max,capacity_5F_max,in_pwr_47F_min,cop_5F_max,cop_17F_max,cop_47F_max
1228,Trane/Mitsubishi Electric,202102771,Multi,PUMY-P36NKMU*,Non-Ducted Indoor Units,11.5,3.695,29000.0,0.62,2.300151834912043,2.700049341932087,3.8952483987341773
1229,Trane/Mitsubishi Electric,202102878,Multi,PUMY-P36NKMU*,Mixed,11.0,3.798,29000.0,0.646,2.237772783043707,2.633929869620253,3.7413328085106383
1230,Trane/Mitsubishi Electric,202102772,Multi,PUMY-P48NKMU*,Non-Ducted Indoor Units,11.7,4.849,36400.0,0.784,2.1999973083109916,2.4999119242213848,3.7997209555822327
1231,Trane/Mitsubishi Electric,202102773,Multi,PUMY-P60NKMU*,Non-Ducted Indoor Units,11.4,8.353,57000.0,1.027,1.9998863869268526,2.299845412290233,3.49777407233273
1232,Trane/Mitsubishi Electric,202102812,Single,PUZ-A24NHA7***,PLA-A24EA7,11.2,1.4,13000.0,0.45,2.7213742214285714,2.5605156642105262,4.105826584541062
1233,Trane/Mitsubishi Electric,202102822,Single,PUZ-A36NKA7***,PLA-A36EA7,10.4,2.6,21600.0,0.94,2.4347442738461536,2.34456856,4.075822827814569
1235,Trane/Mitsubishi Electric,202102837,Single,PUZ-HA36NHA5,PLA-A36BA*,10.0,5.79,38000.0,1.19,1.92,2.12,3.14
1237,Trane/Mitsubishi Electric,202102846,Single,SUZ-KA12NA,SEZ-KD12NA,10.0,0.9,7400.0,0.34,2.4096954644444444,2.63763963,3.162082597368421
1238,Trane/Mitsubishi Electric,202102853,Single,SUZ-KA18NA,SEZ-KD18NA,10.0,1.32,9900.0,0.26,2.198033025,2.4422589166666664,3.394171926976744
1259,Trane,7151531,Single,4TXK2709A10N0AA,4MXW2709A10N0AA,10.0,1.095,8000.0,0.1,2.141158502283105,2.4736350115698684,2.579025416
1260,Trane,7151533,Single,4TXK2712A10NAA,4MXW2712A10N0AA,10.0,1.131,8300.0,0.1,2.150742600353669,2.5244735732673265,3.0392555407407404
1261,Trane,7151535,Single,4TXK2718A10N0AA,4MXW2718A10N0AA,10.0,2.29,15400.0,0.4,1.970870951091703,2.2435331638832685,2.7199339864559997
1270,Trane,9150121,Single,4TXK3809A10NUAA,4MXW3809A10NUAA,15.0,1.72,12210.0,0.2,2.0804638166860463,2.402110843462358,2.6571777013333335
1271,Trane,9150123,Single,4TXK3812A10NUAA,4MXW3812A10NUAA,14.0,1.789,13304.0,0.25,2.179439639619899,2.6376396300000002,3.4252681306249997
1272,Trane,9150125,Single,4TXK3818A10NUAA,4MXW3818A10NUAA,12.0,3.3,20634.0,0.35,1.8324934722363637,2.083058989846154,2.8603736432
1273,Trane,9150127,Single,4TXK3824A10NUAA,4MXW3824A10NUAA,12.0,3.175,24233.0,0.38,2.2368476344283463,2.2765233692428275,2.5663520724324322
